"V1","V2"
"E8.5_CPC_p2_125",29.0305743366249,15.621399372257
"E8.5_CPC_p2_014",44.2598249370576,-2.93833733651745
"E8.5_CPC_p2_057",-16.5422458777745,-25.3699376663991
"E8.5_CPC_p2_353",35.421518623198,23.7578457716427
"E8.5_CPC_p2_028",-3.86848498481648,-20.5332315603785
"E8.5_CPC_p2_138",41.6803073047529,-3.49959959102273
"E8.5_CPC_p2_301",-20.0273836367194,-24.1987075738071
"E8.5_CPC_p2_078",29.9877417703286,15.1929891335081
"E8.5_CPC_p2_157",45.0057206154929,-0.792040170072556
"E8.5_CPC_p2_254",37.7769581476621,-5.16724647962328
"E8.5_CPC_p2_242",33.5305690364493,13.4837125304157
"E8.5_CPC_p2_330",-19.4881949765566,-2.96157870073637
"E8.5_CPC_p2_184",-11.6224956019585,-21.6789561544125
"E8.5_CPC_p2_126",-11.87803665502,-4.333748639611
"E8.5_CPC_p2_118",40.9291669105115,-7.01322320033412
"E8.5_CPC_p2_174",-7.20135029726446,-24.4255712503392
"E8.5_CPC_p2_356",30.9393981011328,14.0407068319586
"E8.5_CPC_p2_061",-23.2716812015136,1.87468184232664
"E8.5_CPC_p2_191",38.8703498951654,-2.07635649167393
"E8.5_CPC_p2_268",3.03649237246314,-17.7639450707259
"E8.5_CPC_p2_071",42.2487212717938,12.4382322767771
"E8.5_CPC_p2_111",-25.6601791169708,-0.921722250472947
"E8.5_CPC_p2_304",-17.7838658507872,-9.2186555640418
"E8.5_CPC_p2_231",-16.3937218977508,-29.37137256315
"E8.5_CPC_p2_378",-11.7629638945525,-13.172954659099
"E8.5_CPC_p2_095",-8.07425133842739,-24.9884555448056
"E8.5_CPC_p2_152",39.0452553559926,0.459212676212909
"E8.5_CPC_p2_137",-18.1553900563526,-6.38818866618915
"E8.5_CPC_p2_343",42.329942503203,-4.8383098891405
"E8.5_CPC_p2_175",41.9305617265574,-0.86074765283801
"E8.5_CPC_p2_205",-24.2358921893643,-5.93184026672091
"E8.5_CPC_p2_127",47.8404415269702,-0.64458001294441
"E8.5_CPC_p2_031",-27.8975383699292,2.44391804750994
"E8.5_CPC_p2_298",39.0142588787944,3.72649409663451
"E8.5_CPC_p2_128",3.88540277928405,-18.5566116583223
"E8.5_CPC_p2_021",50.0275957497124,-2.73627555296333
"E8.5_CPC_p2_350",30.0116519648677,17.572944186249
"E8.5_CPC_p2_292",50.400921444956,-3.30421253721674
