"mapping_rate","sequencing_depth","frip","frac_open","mt_content","uniq_frags","dup_level","batch","total_features_by_counts","log10_total_features_by_counts","total_counts","log10_total_counts","pct_counts_in_top_50_features","pct_counts_in_top_100_features","pct_counts_in_top_200_features","pct_counts_in_top_500_features","pct_counts_top_50_features","pct_counts_top_100_features","pct_counts_top_200_features","pct_counts_top_500_features","qc_exclude","is_cell_control","total_features_by_binary_exprs","log10_total_features_by_binary_exprs","total_binary_exprs","log10_total_binary_exprs","pct_binary_exprs_in_top_50_features","pct_binary_exprs_in_top_100_features","pct_binary_exprs_in_top_200_features","pct_binary_exprs_in_top_500_features","total_features","log10_total_features","pct_binary_exprs_top_50_features","pct_binary_exprs_top_100_features","pct_binary_exprs_top_200_features","pct_binary_exprs_top_500_features",".cluster_5","dpt_cardiac","dpt_endo","dpt_cl3","dpt_cl3_cl5","dpt_cl4"
"E8.5_CPC_p2_299",97.36,842301,0.598278,0.260393,0.020543,71517,0.906093,"E8.5",22443,4.35110026003142,87337,4.94120324255545,4.79178355107228,5.84631942933694,7.69662342420738,12.4345924407754,4.79178355107228,5.84631942933694,7.69662342420738,12.4345924407754,"pass",FALSE,21089,4.32407657973949,21089,4.32407657973949,0.237090426288586,0.474180852577173,0.948361705154346,2.37090426288586,21089,4.32407657973949,0.237090426288586,0.474180852577173,0.948361705154346,2.37090426288586,"3",NA,NA,0.659761885820605,0.623962571350498,NA
"E8.5_CPC_p2_277",95.64,653475,0.60255,0.212337,0.037029,53806,0.903631,"E8.5",18298,4.26242735714309,67259,4.82775686297862,9.09618043681886,10.2246539496573,12.151533623753,17.0088761355358,9.09618043681886,10.2246539496573,12.151533623753,17.0088761355358,"pass",FALSE,17602,4.24558668897421,17602,4.24558668897421,0.28405862970117,0.568117259402341,1.13623451880468,2.8405862970117,17602,4.24558668897421,0.28405862970117,0.568117259402341,1.13623451880468,2.8405862970117,"3",NA,NA,0.463598090996991,0.479747283811946,NA
"E8.5_CPC_p2_073",96.94,503084,0.613794,0.191911,0.037108,47356,0.891616,"E8.5",16535,4.21843046361923,60322,4.78048293185123,8.73976327044859,10.0858724843341,12.4001193594377,17.9950930008952,8.73976327044859,10.0858724843341,12.4001193594377,17.9950930008952,"pass",FALSE,15864,4.20044007643643,15864,4.20044007643643,0.315179021684317,0.630358043368633,1.26071608673727,3.15179021684317,15864,4.20044007643643,0.315179021684317,0.630358043368633,1.26071608673727,3.15179021684317,"3",NA,NA,0.591197691718993,0.565764905966135,NA
"E8.5_CPC_p2_151",97.12,634150,0.600336,0.208034,0.045499,54020,0.901381,"E8.5",17930,4.25360451055334,67904,4.83190175355093,9.36763666352498,10.5266258246937,12.5618520263902,17.6646442035815,9.36763666352498,10.5266258246937,12.5618520263902,17.6646442035815,"pass",FALSE,16992,4.2302700574112,16992,4.2302700574112,0.294256120527307,0.588512241054614,1.17702448210923,2.94256120527307,16992,4.2302700574112,0.294256120527307,0.588512241054614,1.17702448210923,2.94256120527307,"1",1.53535471973944,NA,NA,NA,1.33389905863113
"E8.5_CPC_p2_080",96.51,815040,0.623619,0.245592,0.058208,74589,0.890039,"E8.5",21165,4.32563879179054,98703,4.9943347528999,11.3269100229983,12.4008388802772,14.2802143805153,18.942686645796,11.3269100229983,12.4008388802772,14.2802143805153,18.942686645796,"pass",FALSE,20265,4.30676803831541,20265,4.30676803831541,0.246730816679003,0.493461633358006,0.986923266716013,2.46730816679003,20265,4.30676803831541,0.246730816679003,0.493461633358006,0.986923266716013,2.46730816679003,"1",1.51914251926391,NA,NA,NA,1.34390290183625
"E8.5_CPC_p2_143",96.69,501552,0.624358,0.195599,0.053334,44765,0.894884,"E8.5",16859,4.22685757028872,58986,4.77075630909377,10.99074356627,12.1452548062252,14.176245210728,19.2808463025125,10.99074356627,12.1452548062252,14.176245210728,19.2808463025125,"pass",FALSE,16161,4.20849510242984,16161,4.20849510242984,0.309386795371574,0.618773590743147,1.23754718148629,3.09386795371574,16161,4.20849510242984,0.309386795371574,0.618773590743147,1.23754718148629,3.09386795371574,"3",NA,NA,0.434401154190429,0.469739303872594,NA
"E8.5_CPC_p2_281",96.18,1266379,0.639662,0.305909,0.017917,106118,0.905371,"E8.5",26366,4.42106071919188,138165,5.14040118465141,5.18655231064307,6.19476712626208,7.99768392863605,12.5306698512648,5.18655231064307,6.19476712626208,7.99768392863605,12.5306698512648,"pass",FALSE,25269,4.40260524191991,25269,4.40260524191991,0.197870909018956,0.395741818037912,0.791483636075824,1.97870909018956,25269,4.40260524191991,0.197870909018956,0.395741818037912,0.791483636075824,1.97870909018956,"3",NA,NA,0.553497416945309,0.538393233064932,NA
"E8.5_CPC_p2_053",93.99,910432,0.588964,0.2162,0.045283,71220,0.906048,"E8.5",18627,4.27016622926069,87795,4.94347472982979,12.9415114755966,14.1784839683353,16.2993336750384,21.5160316646734,12.9415114755966,14.1784839683353,16.2993336750384,21.5160316646734,"pass",FALSE,17874,4.25224605047312,17874,4.25224605047312,0.279735929282757,0.559471858565514,1.11894371713103,2.79735929282757,17874,4.25224605047312,0.279735929282757,0.559471858565514,1.11894371713103,2.79735929282757,"1",1.47677616425818,NA,NA,NA,1.28712636620932
"E8.5_CPC_p2_379",96.78,380416,0.531597,0.124774,0.052988,31455,0.902988,"E8.5",10750,4.03144886185938,35264,4.54734388818062,12.8176043557169,14.5389065335753,17.4965970961887,24.5689655172414,12.8176043557169,14.5389065335753,17.4965970961887,24.5689655172414,"pass",FALSE,10239,4.01029995663981,10239,4.01029995663981,0.488328938372888,0.976657876745776,1.95331575349155,4.88328938372888,10239,4.01029995663981,0.488328938372888,0.976657876745776,1.95331575349155,4.88328938372888,"2",0.508167408789505,0.316940119648093,0.202615083474789,0.238776665588132,0.633488747459655
"E8.5_CPC_p2_093",97.31,939287,0.489173,0.245894,0.018235,90772,0.892677,"E8.5",21187,4.32608996426356,90354,4.95595219023759,5.62122318879076,6.73904863094052,8.70354383867897,13.6374703942271,5.62122318879076,6.73904863094052,8.70354383867897,13.6374703942271,"pass",FALSE,19801,4.2967090561756,19801,4.2967090561756,0.252512499368719,0.505024998737437,1.01004999747487,2.52512499368719,19801,4.2967090561756,0.252512499368719,0.505024998737437,1.01004999747487,2.52512499368719,"5",NA,3.86160832649022,NA,2.50964674592376,NA
