"V1","V2"
"E8.5_CPC_p2_122",2.77529865167664,16.0391748788412
"E8.5_CPC_p2_207",-34.1305639208963,-5.71183411984704
"E8.5_CPC_p2_145",-8.75428064222825,15.4886390590496
"E8.5_CPC_p2_065",-8.78438879764013,3.45446970678082
"E8.5_CPC_p2_321",-12.5030428672899,9.71004018599769
"E8.5_CPC_p2_091",47.3767810852051,6.75241360131287
"E8.5_CPC_p2_374",9.98887772072255,23.8511731022352
"E8.5_CPC_p2_263",-7.35009890587901,14.9474071764126
"E8.5_CPC_p2_368",-22.317117375492,-22.2971748842394
"E8.5_CPC_p2_042",-9.377666913562,21.881768545714
"E8.5_CPC_p2_229",26.2351425278645,22.9632333582943
"E8.5_CPC_p2_333",21.8003849144757,29.3897982052959
"E8.5_CPC_p2_189",9.52490292592613,20.0411505207409
"E8.5_CPC_p2_161",-17.3857370763509,8.53744580617778
"E8.5_CPC_p2_237",3.511556108211,15.4994790846213
"E8.5_CPC_p2_124",-12.4572228971355,10.5702986663529
"E8.5_CPC_p2_297",19.1193545132908,23.3731511928593
"E8.5_CPC_p2_022",-6.4707149033001,12.720402149173
"E8.5_CPC_p2_279",0.91458013044507,-33.3291289949341
"E8.5_CPC_p2_316",-6.81319662864341,-37.3134539173202
"E8.5_CPC_p2_319",-6.74596761399126,-29.1122599554064
"E8.5_CPC_p2_285",-8.92150504046067,-26.7305449480818
"E8.5_CPC_p2_020",12.5945831732957,22.0467955613401
"E8.5_CPC_p2_187",-21.6000266610232,-14.4898722506879
"E8.5_CPC_p2_060",-13.2033180689283,-18.7229912487076
"E8.5_CPC_p2_203",-5.96219738281167,-32.4035154887486
"E8.5_CPC_p2_009",31.158233820385,17.8134543332398
"E8.5_CPC_p2_017",-16.9532649197398,-17.402568859393
"E8.5_CPC_p2_349",29.1319582985466,20.8120297030094
"E8.5_CPC_p2_291",34.3935103838223,6.49099275909652
"E8.5_CPC_p2_010",-9.81994363597504,11.2579842145153
"E8.5_CPC_p2_351",-6.2550594002119,15.0170110196192
"E8.5_CPC_p2_265",7.36937944581174,16.796420348285
"E8.5_CPC_p2_072",-19.0224728510526,16.1209692479061
"E8.5_CPC_p2_089",28.7969097181498,18.4675600920067
"E8.5_CPC_p2_305",-9.6926313364254,6.06522789799756
"E8.5_CPC_p2_283",-15.2954951125909,15.9752074350559
"E8.5_CPC_p2_094",21.1199597114148,18.9944813472512
"E8.5_CPC_p2_050",-8.8671809550702,10.9540993519657
"E8.5_CPC_p2_171",16.207041224112,25.8348995880165
"E8.5_CPC_p2_079",41.4056681431659,3.87335420338286
"E8.5_CPC_p2_016",-7.04117170990316,-32.9915939817476
"E8.5_CPC_p2_008",-13.47852481057,-37.0029326993728
"E8.5_CPC_p2_001",40.9652999499872,11.5413809519567
"E8.5_CPC_p2_129",25.4351920401467,16.772862617308
"E8.5_CPC_p2_248",32.2253660963304,11.8396506551471
"E8.5_CPC_p2_381",25.6661248092744,29.0592279688501
"E8.5_CPC_p2_172",23.6689026271047,30.3425901480329
"E8.5_CPC_p2_259",-19.9740121424592,-20.5109640127749
"E8.5_CPC_p2_274",3.8597968250305,21.2208239726027
"E8.5_CPC_p2_221",-14.3485516369032,-22.0412741704474
"E8.5_CPC_p2_183",-29.4940640644807,-14.8150332757588
"E8.5_CPC_p2_280",-3.19154626061383,19.8717946735466
"E8.5_CPC_p2_162",-23.7327258876286,-14.1158885361071
"E8.5_CPC_p2_359",-0.854159794877921,-31.2820442647496
"E8.5_CPC_p2_290",-16.9782560590942,13.1617812197062
"E8.5_CPC_p2_247",24.1324353491472,26.346789228674
"E8.5_CPC_p2_087",-13.8765890136622,25.7544893835858
"E8.5_CPC_p2_245",-5.46137922142732,16.4409454046713
"E8.5_CPC_p2_200",-12.2794702024369,16.0908943584631
"E8.5_CPC_p2_370",-13.5498106116834,-25.4320838910239
"E8.5_CPC_p2_096",-17.2418664095766,10.1314388171003
"E8.5_CPC_p2_197",-6.69625281706426,15.5426905892919
"E8.5_CPC_p2_105",26.1802057544791,20.8326146541905
