pop	depth	batch
4_5	0.27930174563591	2
4_5	0.281795511221945	2
4_5	0.28428927680798	1
4_5	0.286783042394015	2
4_5	0.28927680798005	2
4_5	0.291770573566085	2
4_5	0.29426433915212	2
4_5	0.296758104738155	2
4_5	0.29925187032419	1
4_5	0.301745635910224	1
4_5	0.304239401496259	1
4_5	0.306733167082294	1
4_5	0.309226932668329	2
4_5	0.311720698254364	2
4_5	0.314214463840399	1
4_5	0.316708229426434	1
4_5	0.319201995012469	1
4_5	0.321695760598504	1
4_5	0.324189526184539	1
4_5	0.326683291770574	1
4_5	0.329177057356608	2
4_5	0.331670822942643	1
4_5	0.334164588528678	2
4_5	0.336658354114713	1
4_5	0.339152119700748	2
4_5	0.341645885286783	2
4_5	0.344139650872818	2
4_5	0.346633416458853	2
4_5	0.349127182044888	2
4_5	0.351620947630923	2
4_5	0.354114713216958	1
4_5	0.356608478802993	1
4_5	0.359102244389027	1
4_5	0.361596009975062	1
4_5	0.364089775561097	1
4_5	0.366583541147132	2
4_5	0.369077306733167	2
4_5	0.371571072319202	1
4_5	0.374064837905237	2
4_5	0.376558603491272	1
4_5	0.379052369077307	1
4_5	0.381546134663342	1
4_5	0.384039900249377	2
4_5	0.386533665835411	2
4_5	0.389027431421446	2
4_5	0.391521197007481	2
4_5	0.394014962593516	2
4_5	0.396508728179551	2
4_5	0.399002493765586	1
4_5	0.401496259351621	1
4_5	0.403990024937656	2
4_5	0.406483790523691	2
4_5	0.408977556109726	2
4_5	0.411471321695761	1
4_5	0.413965087281795	2
4_5	0.41645885286783	1
4_5	0.418952618453865	2
4_5	0.4214463840399	2
4_5	0.423940149625935	1
4_5	0.42643391521197	1
4_5	0.428927680798005	1
4_5	0.43142144638404	2
4_5	0.433915211970075	1
4_5	0.43640897755611	1
4_5	0.438902743142145	2
4_5	0.44139650872818	1
4_5	0.443890274314214	2
4_5	0.446384039900249	1
4_5	0.448877805486284	2
4_5	0.451371571072319	2
4_5	0.453865336658354	2
4_5	0.456359102244389	2
4_5	0.458852867830424	2
4_5	0.461346633416459	2
4_5	0.463840399002494	1
4_5	0.466334164588529	1
4_5	0.468827930174564	2
4_5	0.471321695760599	2
4_5	0.473815461346633	1
4_5	0.476309226932668	2
4_5	0.478802992518703	2
4_5	0.481296758104738	2
4_5	0.483790523690773	2
4_5	0.486284289276808	1
4_5	0.488778054862843	1
4_5	0.491271820448878	1
4_5	0.493765586034913	1
4_5	0.496259351620948	2
4_5	0.498753117206983	2
4_5	0.501246882793017	1
4_5	0.503740648379052	2
4_5	0.506234413965087	2
4_5	0.508728179551122	2
4_5	0.511221945137157	2
4_5	0.513715710723192	1
4_5	0.516209476309227	1
4_5	0.518703241895262	1
4_5	0.521197007481297	2
4_5	0.523690773067332	2
4_5	0.526184538653367	1
4_5	0.528678304239401	2
4_5	0.531172069825436	2
4_5	0.533665835411471	2
4_5	0.536159600997506	2
4_5	0.538653366583541	1
4_5	0.541147132169576	1
4_5	0.543640897755611	1
4_5	0.546134663341646	2
4_5	0.548628428927681	1
4_5	0.551122194513716	1
4_5	0.553615960099751	1
4_5	0.556109725685786	2
4_5	0.55860349127182	2
4_5	0.561097256857855	2
4_5	0.56359102244389	2
4_5	0.566084788029925	1
4_5	0.56857855361596	2
4_5	0.571072319201995	1
4_5	0.57356608478803	1
4_5	0.576059850374065	2
4_5	0.5785536159601	1
4_5	0.581047381546135	1
4_5	0.58354114713217	1
4_5	0.586034912718205	1
4_5	0.588528678304239	2
4_5	0.591022443890274	2
4_5	0.593516209476309	1
4_5	0.596009975062344	1
4_5	0.598503740648379	2
4_5	0.600997506234414	2
4_5	0.603491271820449	2
4_5	0.605985037406484	1
4_5	0.608478802992519	1
4_5	0.610972568578554	2
4_5	0.613466334164589	1
4_5	0.615960099750623	1
4_5	0.618453865336658	2
4_5	0.620947630922693	2
4_5	0.623441396508728	2
4_5	0.625935162094763	2
4_5	0.628428927680798	2
4_5	0.630922693266833	1
4_5	0.633416458852868	2
4_5	0.635910224438903	1
4_5	0.638403990024938	1
4_5	0.640897755610973	1
4_5	0.643391521197007	1
4_5	0.645885286783042	2
4_5	0.648379052369077	1
4_5	0.650872817955112	1
4_5	0.653366583541147	2
4_5	0.655860349127182	2
4_5	0.658354114713217	1
4_5	0.660847880299252	1
4_5	0.663341645885287	2
4_5	0.665835411471322	1
4_5	0.668329177057357	2
4_5	0.670822942643391	1
4_5	0.673316708229426	1
4_5	0.675810473815461	1
4_5	0.678304239401496	1
4_5	0.680798004987531	1
4_5	0.683291770573566	2
4_5	0.685785536159601	1
4_5	0.688279301745636	1
